parameter_id,resolution,unit,input_file,provenance,status,sensitivity,model_role
thermal.power_envelope,province-year-hour,GW,flexibility/thermal_hourly_envelope_v5.csv.gz,accepted BAIT +/-1 C envelope times registered enrolment,GENERATED_AND_MANIFESTED,0.10-0.40 enrolment,hard thermal up and down power bounds
thermal.state_parameters,province-year-component,mixed,flexibility/thermal_parameters_by_province_v5.csv,registered retention efficiency and duration assumptions,ENGINEERING_ASSUMPTION,registered low-central-high ranges,nonnegative periodic thermal service inventory
ev.shiftable_baseline,province-year-hour,GW,load/hourly_load_2025_2060.csv.gz,Power_curve_V2 EV baseline times 15 percent central enrolment,GENERATED_AND_MANIFESTED,0.10-0.25,V1G immutable and flexible split
ev.service_withdrawal,province-year-hour,GWh,flexibility/ev_mobility_hourly_v5.csv.gz,charge efficiency times flexible EV baseline with exact energy closure,GENERATED_AND_MANIFESTED,tracks V1G participation,exogenous mobility-service withdrawal
ev.smart_charge_power,province-year-hour,GW,flexibility/ev_availability_hourly_v5.csv.gz,maximum of enrolled baseline and ratio times daily average,ENGINEERING_ASSUMPTION,ratio 1.5-3.0,smart charging upper bound
ev.v2g_power,province-year-hour,GW,flexibility/ev_availability_hourly_v5.csv.gz,separate V2G participation times daily average plus national cap,ENGINEERING_ASSUMPTION,participation 0.05-0.30,V2G discharge upper bound
ev.service_inventory,province-year-hour,GWh,flexibility/ev_availability_hourly_v5.csv.gz,enrolled daily service energy times registered duration,ENGINEERING_ASSUMPTION,12-36 hours,aggregate fleet state upper bound
ev.connection_normalisation,province-year-hour,fraction,flexibility/ev_availability_hourly_v5.csv.gz,fixed service normalization not measured connection probability,MODEL_CONVENTION,fixed 1.0,multiplies contracted power
flex.costs,province-year-service,mixed,flexibility/flex_enablement_cost_v5.csv,2025 constant CNY real-resource cost registry with V1G downward relocation counted once,ENGINEERING_ASSUMPTION,registered low-central-high ranges,annual contracts activation infrastructure compensation and degradation
firm.capacity_credit,province-year-service,GW,config/scenarios/flex_integrated_v5_central.json,derated deliverability over the four-hour window containing each province full-year baseline peak,ENGINEERING_ASSUMPTION_NOT_CHINA_ELCC,registered derating ranges,capacity-adequacy contribution without reserve credit
