source_id,source_type,title,year,url_or_path,scope,parameter_role,reliability
POWER_CURVE_EV,local_model_output,Power_curve_V2 Guangzhou-QC-calibrated EV reconstruction and future 8760 projection v3,2026,../Power_curve_V2/outputs/future_8760_projection_ev_calibrated_v3_qc/tables/future_hourly_load_2025_2060_8760.csv.gz,China province-hour EV charging load,immutable EV baseline shape and energy,HIGH_LOCAL_REPRODUCIBLE
POWER_CURVE_THERMAL,local_model_output,Power_curve_V2 retained heating and cooling reconstruction,2026,../Power_curve_V2/outputs/run_20260617_122125/tables/heating_cooling_load_2020_2024.csv.gz,China province-hour BAIT HDD CDD thermal loads,thermal baseline and temperature response,HIGH_LOCAL_REPRODUCIBLE
LOCAL_ENVELOPE_V3,local_model_output,National_model BAIT plus or minus 1 C comfort envelope,2026,data/load/flexible_load_envelope_v3.manifest.json,31 provinces and five planning years,thermal hourly physical envelope,HIGH_LOCAL_REPRODUCIBLE
IEA_EBC_67,international_official,IEA EBC Annex 67 Energy Flexible Buildings,2019,https://www.iea-ebc.org/projects/project?AnnexID=67,building thermal flexibility and comfort,formulation support,HIGH
APPLIED_ENERGY_2016_TES,peer_reviewed,Quantifying the operational flexibility of building energy systems with thermal energy storages,2016,https://doi.org/10.1016/j.apenergy.2016.08.055,thermal storage power energy and time characterization,retention and duration support,HIGH
APPLIED_ENERGY_2017_HVAC,peer_reviewed,Load shifting using the heating and cooling system of an office building,2017,https://doi.org/10.1016/j.apenergy.2017.06.073,HVAC and thermal mass load shifting,duration support,HIGH
ENBUILD_2019_AC,peer_reviewed,Validation on aggregate flexibility from residential air conditioning systems,2019,https://doi.org/10.1016/j.enbuild.2019.07.043,aggregate battery-equivalent air-conditioning flexibility,cooling formulation support,HIGH
ECM_2023_COOL,peer_reviewed,Techno-economic comparison of cooling storage and battery for electricity flexibility,2023,https://doi.org/10.1016/j.enconman.2023.117183,Chinese-city cooling flexibility,cooling duration and cost support,HIGH
NDRC_DEMAND_2023,China_official,Power demand side management measures 2023 edition,2023,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202309/t20230927_1360902.html,China demand response capability markets and contracts,scenario and cost boundary,HIGH
ANHUI_DR_2025,China_official,Anhui provincial electricity demand response implementation rules,2025,https://www.ahjd.gov.cn/Jczwgk/show/3553986.html,fast demand response compensation and eligible loads,activation cost comparator,HIGH
SHANGHAI_HVAC_2025,China_official,Shanghai notice on building 2025 air-conditioning load regulation capability,2025,https://www.shanghai.gov.cn/qtsj/20250617/9db446ddad1744b6af10b6f7205d8aab.html,HVAC demand response implementation and 0.4 GW city target,thermal enrollment comparator,HIGH
ZHEJIANG_HVAC_2025,China_official,Quzhou Da Kechuang special policy implementation rules 2025 edition,2025,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web3084/site/attach/0/adde479fede6497d921889690afad168.pdf,4 CNY per kWh air-conditioning response subsidy,activation cost high comparator,HIGH
